Code,SKU,Name,Colour,Size,Description,Blank Price,Front Print Price,Back Print Price,,Main_Image ,Front_Colour_Image,Brand,Colour HEX,Apparel Type,Artwork Front,Artwork Back
AS-5050,AS-5050-S-White,Mens Block Tee,White,S,"<ul>  <li>Regular fit&nbsp;</li>  <li>Crew neck&nbsp;</li>  <li>Heavy weight, 200 GSM, 20-singles&nbsp;</li>  <li>100% carded cotton (marles 15% polyester)&nbsp;</li>  <li>Neck ribbing, side seamed, shoulder to shoulder tape, double needle hems, preshrunk to minimise shrinkage</li> </ul>  <p><em>*Please note the colour Charcoal can be susceptible to fading/colouration variance with excessive sun exposure &ndash; please consider this when ordering.</em></p> ",7.43,12,12,,https://garmentprinting.com.au/spdimages/67538888/[SIZE]/prod.jpg?b=11131082&v=1600924216,https://garmentprinting.com.au/pcimages/4837778/135671908/12/1/FFFFFF/prod.jpg,AS Colour,#F8F8FF,T Shirt,,
AS-5050,AS-5050-M-White,Mens Block Tee,White,M,"<ul>  <li>Regular fit&nbsp;</li>  <li>Crew neck&nbsp;</li>  <li>Heavy weight, 200 GSM, 20-singles&nbsp;</li>  <li>100% carded cotton (marles 15% polyester)&nbsp;</li>  <li>Neck ribbing, side seamed, shoulder to shoulder tape, double needle hems, preshrunk to minimise shrinkage</li> </ul>  <p><em>*Please note the colour Charcoal can be susceptible to fading/colouration variance with excessive sun exposure &ndash; please consider this when ordering.</em></p> ",7.43,12,12,,https://garmentprinting.com.au/spdimages/67538888/[SIZE]/prod.jpg?b=11131082&v=1600924216,https://garmentprinting.com.au/pcimages/4837778/135671908/12/1/FFFFFF/prod.jpg,AS Colour,#F8F8FF,T Shirt,,
AS-5050,AS-5050-L-White,Mens Block Tee,White,L,"<ul>  <li>Regular fit&nbsp;</li>  <li>Crew neck&nbsp;</li>  <li>Heavy weight, 200 GSM, 20-singles&nbsp;</li>  <li>100% carded cotton (marles 15% polyester)&nbsp;</li>  <li>Neck ribbing, side seamed, shoulder to shoulder tape, double needle hems, preshrunk to minimise shrinkage</li> </ul>  <p><em>*Please note the colour Charcoal can be susceptible to fading/colouration variance with excessive sun exposure &ndash; please consider this when ordering.</em></p> ",7.43,12,12,,https://garmentprinting.com.au/spdimages/67538888/[SIZE]/prod.jpg?b=11131082&v=1600924216,https://garmentprinting.com.au/pcimages/4837778/135671908/12/1/FFFFFF/prod.jpg,AS Colour,#F8F8FF,T Shirt,,
AS-5050,AS-5050-XL-White,Mens Block Tee,White,XL,"<ul>  <li>Regular fit&nbsp;</li>  <li>Crew neck&nbsp;</li>  <li>Heavy weight, 200 GSM, 20-singles&nbsp;</li>  <li>100% carded cotton (marles 15% polyester)&nbsp;</li>  <li>Neck ribbing, side seamed, shoulder to shoulder tape, double needle hems, preshrunk to minimise shrinkage</li> </ul>  <p><em>*Please note the colour Charcoal can be susceptible to fading/colouration variance with excessive sun exposure &ndash; please consider this when ordering.</em></p> ",7.43,12,12,,https://garmentprinting.com.au/spdimages/67538888/[SIZE]/prod.jpg?b=11131082&v=1600924216,https://garmentprinting.com.au/pcimages/4837778/135671908/12/1/FFFFFF/prod.jpg,AS Colour,#F8F8FF,T Shirt,,
AS-5050,AS-5050-2XL-White,Mens Block Tee,White,2XL,"<ul>  <li>Regular fit&nbsp;</li>  <li>Crew neck&nbsp;</li>  <li>Heavy weight, 200 GSM, 20-singles&nbsp;</li>  <li>100% carded cotton (marles 15% polyester)&nbsp;</li>  <li>Neck ribbing, side seamed, shoulder to shoulder tape, double needle hems, preshrunk to minimise shrinkage</li> </ul>  <p><em>*Please note the colour Charcoal can be susceptible to fading/colouration variance with excessive sun exposure &ndash; please consider this when ordering.</em></p> ",7.43,12,12,,https://garmentprinting.com.au/spdimages/67538888/[SIZE]/prod.jpg?b=11131082&v=1600924216,https://garmentprinting.com.au/pcimages/4837778/135671908/12/1/FFFFFF/prod.jpg,AS Colour,#F8F8FF,T Shirt,,
AS-5050,AS-5050-3XL-White,Mens Block Tee,White,3XL,"<ul>  <li>Regular fit&nbsp;</li>  <li>Crew neck&nbsp;</li>  <li>Heavy weight, 200 GSM, 20-singles&nbsp;</li>  <li>100% carded cotton (marles 15% polyester)&nbsp;</li>  <li>Neck ribbing, side seamed, shoulder to shoulder tape, double needle hems, preshrunk to minimise shrinkage</li> </ul>  <p><em>*Please note the colour Charcoal can be susceptible to fading/colouration variance with excessive sun exposure &ndash; please consider this when ordering.</em></p> ",7.43,12,12,,https://garmentprinting.com.au/spdimages/67538888/[SIZE]/prod.jpg?b=11131082&v=1600924216,https://garmentprinting.com.au/pcimages/4837778/135671908/12/1/FFFFFF/prod.jpg,AS Colour,#F8F8FF,T Shirt,,
AS-5050,AS-5050-4XL-White,Mens Block Tee,White,4XL,"<ul>  <li>Regular fit&nbsp;</li>  <li>Crew neck&nbsp;</li>  <li>Heavy weight, 200 GSM, 20-singles&nbsp;</li>  <li>100% carded cotton (marles 15% polyester)&nbsp;</li>  <li>Neck ribbing, side seamed, shoulder to shoulder tape, double needle hems, preshrunk to minimise shrinkage</li> </ul>  <p><em>*Please note the colour Charcoal can be susceptible to fading/colouration variance with excessive sun exposure &ndash; please consider this when ordering.</em></p> ",7.43,12,12,,https://garmentprinting.com.au/spdimages/67538888/[SIZE]/prod.jpg?b=11131082&v=1600924216,https://garmentprinting.com.au/pcimages/4837778/135671908/12/1/FFFFFF/prod.jpg,AS Colour,#F8F8FF,T Shirt,,
AS-5050,AS-5050-5XL-White,Mens Block Tee,White,5XL,"<ul>  <li>Regular fit&nbsp;</li>  <li>Crew neck&nbsp;</li>  <li>Heavy weight, 200 GSM, 20-singles&nbsp;</li>  <li>100% carded cotton (marles 15% polyester)&nbsp;</li>  <li>Neck ribbing, side seamed, shoulder to shoulder tape, double needle hems, preshrunk to minimise shrinkage</li> </ul>  <p><em>*Please note the colour Charcoal can be susceptible to fading/colouration variance with excessive sun exposure &ndash; please consider this when ordering.</em></p> ",7.43,12,12,,https://garmentprinting.com.au/spdimages/67538888/[SIZE]/prod.jpg?b=11131082&v=1600924216,https://garmentprinting.com.au/pcimages/4837778/135671908/12/1/FFFFFF/prod.jpg,AS Colour,#F8F8FF,T Shirt,,
AS-5050,AS-5050-S-Navy,Mens Block Tee,Navy,S,"<ul>  <li>Regular fit&nbsp;</li>  <li>Crew neck&nbsp;</li>  <li>Heavy weight, 200 GSM, 20-singles&nbsp;</li>  <li>100% carded cotton (marles 15% polyester)&nbsp;</li>  <li>Neck ribbing, side seamed, shoulder to shoulder tape, double needle hems, preshrunk to minimise shrinkage</li> </ul>  <p><em>*Please note the colour Charcoal can be susceptible to fading/colouration variance with excessive sun exposure &ndash; please consider this when ordering.</em></p> ",7.43,12,12,,https://garmentprinting.com.au/spdimages/67538888/[SIZE]/prod.jpg?b=11131082&v=1600924216,https://garmentprinting.com.au/pcimages/4837778/135671913/12/1/FFFFFF/prod.jpg,AS Colour,#2D2E4C,T Shirt,,
AS-5050,AS-5050-M-Navy,Mens Block Tee,Navy,M,"<ul>  <li>Regular fit&nbsp;</li>  <li>Crew neck&nbsp;</li>  <li>Heavy weight, 200 GSM, 20-singles&nbsp;</li>  <li>100% carded cotton (marles 15% polyester)&nbsp;</li>  <li>Neck ribbing, side seamed, shoulder to shoulder tape, double needle hems, preshrunk to minimise shrinkage</li> </ul>  <p><em>*Please note the colour Charcoal can be susceptible to fading/colouration variance with excessive sun exposure &ndash; please consider this when ordering.</em></p> ",7.43,12,12,,https://garmentprinting.com.au/spdimages/67538888/[SIZE]/prod.jpg?b=11131082&v=1600924216,https://garmentprinting.com.au/pcimages/4837778/135671913/12/1/FFFFFF/prod.jpg,AS Colour,#2D2E4C,T Shirt,,
